"TITLE","COMPANY","LOCATION","IS_REMOTE","JOB_URL","SOURCE","SEARCH_TERM","SEARCH_CITY","TECHNICAL_STACK","KEY_RESPONSIBILITIES","REQUIRED_EXPERIENCE","SUCCESS_METRICS","SALARY_RANGE","SALARY_IS_ESTIMATED","SYSTEMS_FIT","RETRIEVAL_INFRA_FIT","ALGORITHMIC_ML_FIT","OVERALL_MATCH","MATCH_REASON","VISA_ANALYSIS"
"Amazon Industrial Robotics - Applied Scientist II Intern / Co-op - 2026, Amazon Industrial Robotics","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=d15383c06f45ffee","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Java, C++, Machine Learning, Artificial Intelligence, Robotics, Computer Vision","Contribute to research in robotics and automation | Develop prototypes for robotic systems | Work on collaborative and cross-functional teams | Implement algorithms for manipulation and locomotion | Bridge theoretical advancements with practical implementations","1 year relevant academic research or industry experience, currently enrolled in a PhD program in a related field","","$80,000 - $100,000",True,"Low","Low","High",85,"This role is focused on advanced robotics and machine learning, emphasizing algorithm development and practical implementation, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions eligibility to work in the US."
"Applied Scientist II, SPB Advertiser Guidance","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=3b7e909433a14d72","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Curation, Evaluation Pipelines","Design and build agents for advertiser guidance | Implement advanced model optimization techniques | Curate datasets and tools for machine learning processes | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to implement innovations","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical background and expertise in ML techniques, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard language."
"Applied Scientist, Sponsored Products","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=eaa42309f0ecd2fd","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Machine Learning, Python, Statistical Analysis, A/B Testing, Data Analysis","Drive end-to-end Machine Learning projects | Perform hands-on analysis and modeling of large data sets | Build and deploy machine learning models into production | Run A/B experiments and perform statistical analysis | Establish automated processes for data analysis and model development","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","Increase traffic monetization, enhance shopper experience, generate billions in revenue","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on machine learning and data analysis, where the candidate's strong algorithmic and mathematical background aligns well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard."
"Machine Learning Engineer II, Special Projects","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=bbcf97cbe74d8808","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","AI, Machine Learning, Python, Software Development, Data Processing","Design, implement and launch AI solutions end-to-end | Write high-quality, maintainable code following best practices | Own end-to-end deployment of ML models for large scale inference | Build and optimize automated data processing workflows | Contribute to architecture decisions and technical strategy","2+ years software development, 2+ years design or architecture experience, Bachelor's degree in computer science or equivalent","","$129,300 - $223,600",False,"High","Low","Medium",75,"This role is primarily focused on software development and ML model deployment, making the candidate's strong systems fit and moderate algorithmic ML skills a good match.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Dev Engineer, Sponsored Products and Brands Ads Response Prediction","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=53e1c941749e4e7b","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Machine Learning, Generative AI, LLM, Data Mining, Natural Language Processing","Enhance scalability, automation, and efficiency of training and inference systems | Develop LLM inference infrastructure for GenAI workloads | Partner with Applied Scientists to productionize generative AI solutions","2+ years software development, 1+ years full software development life cycle, BS in Computer Science or equivalent","Successfully implementing GenAI solutions in production, optimizing model performance","$120,000 - $150,000",True,"High","Medium","High",85,"This role is a Software Engineer in Machine Learning, focusing on building and optimizing ML infrastructure, which aligns well with the candidate's strengths in systems and algorithmic ML.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, Prime Video - Content Understanding, Localization & Enrichment Team","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=c6652451caaefad7","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, machine learning, audio processing, natural language understanding, Unix/Linux","Drive innovation in machine learning, audio processing, and natural language understanding | Build models for business applications | Collaborate with solution development teams | Mentor and develop applied science talent within the team | Communicate scientific work to business stakeholders","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on machine learning and audio processing, where the candidate's strong algorithmic and mathematical background aligns well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=9cf1a8875ddcfdb4","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Engineering","Design and build agents for conversational and non-conversational experiences | Implement advanced model and agent optimization techniques | Curate datasets and tools for model training and evaluation | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to bring innovations into production","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical background and expertise in ML techniques, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard."
"Software Development Engineer II, SPB Advertiser Guidance","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=982d980ca789cd19","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, LLM deployment frameworks, Reinforcement learning, Distributed systems, Cloud-native development","Implement core services and APIs for agent orchestration and state management | Build scalable, reusable data and tool registry | Develop infrastructure for fine-tuning and reinforcement learning pipelines | Ensure performance, scalability, observability, and maintainability | Participate in system design, code reviews, and architecture discussions","","Improve reasoning quality, enhance advertiser outcomes, ensure safety guardrails","$130,000 - $160,000",True,"High","Medium","Medium",80,"This role is a Software Development Engineer position that emphasizes building scalable systems and infrastructure, making the candidate's strong systems fit a key asset, while also valuing their algorithmic and retrieval skills for enhancing AI-driven advertising solutions.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard language."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=b2aead3432982d1d","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, Unix/Linux, Machine Learning, Deep Learning, Data Mining","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Guide and collaborate with teams on scalable page personalization solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, Sponsored Products and Brands","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=226c0842a69a4229","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, Machine Learning, Data Mining, High-Performance Computing","Develop AI solutions for Sponsored Brands advertiser and shopper experiences | Invent and design new solutions for scientifically-complex problem areas | Drive the design of scientifically-complex software solutions | Define a long-term science vision and roadmap for the advertising business | Design and conduct A/B experiments to evaluate proposed solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","Generate billions in revenue, deliver billions of ad impressions, millions of clicks daily","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an applied scientist focusing on developing AI solutions and recommendation systems, which aligns well with the candidate's strong algorithmic and mathematical background.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist, Skill Builder, AWS Training and Certifications","Amazon Web Services","Bellevue, WA, US",False,"https://www.indeed.com/viewjob?jk=f9879d4b9bb511dc","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Machine Learning, AWS, Generative AI, LLMs","Contribute to the development of AI systems | Extend existing scientific techniques and invent new ones | Work closely with product and engineering leaders | Prioritize rapid experimentation and responsible AI development | Deliver measurable customer impact","","Deliver measurable customer impact","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on machine learning and scientific techniques, making the candidate's strong algorithmic and mathematical background a perfect fit despite low requirements in systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, Skill Builder, AWS Training and Certifications","Amazon Web Services","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=06c99237255dd276","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Machine Learning, AWS, Generative AI, LLMs","Contribute to the development of AI systems | Extend existing scientific techniques and invent new ones | Work closely with product and engineering leaders | Prioritize rapid experimentation and responsible AI development | Deliver measurable customer impact","","Deliver measurable customer impact","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on machine learning and scientific techniques, making the candidate's strong algorithmic and mathematical background a perfect fit despite low requirements in systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video Recommendation/Search Science","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=b960ad5d4c8e5c81","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Machine Learning, Deep Learning, Optimization Methods","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Create experiments to identify high impact projects | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years in machine learning, experience with recommender systems or search ranking","Impact on millions of customers, effectiveness of recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is for an Applied Scientist focusing on machine learning and recommendation systems, where the candidate's strong algorithmic and mathematical background aligns well with the primary requirements.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist - Search","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=dedbc2f1601427b1","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, ML, Unix/Linux","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=06e1a950cb419734","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, Unix/Linux, Machine Learning, Deep Learning, Data Mining","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Guide and collaborate with teams on scalable page personalization solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist - Prime Video and Studios","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=3065a8fe7688cb72","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Java, C++, Python, ML, Unix/Linux","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Create experiments to identify high impact projects | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer, AGI","Amazon.com","Bellevue, WA, US",False,"https://www.indeed.com/viewjob?jk=7d61983b3d99f2b2","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Spark, Java, Scala","Design and build scalable systems for web information processing | Optimize data processing architecture for performance and cost-effectiveness | Implement systems to process content and extract meaning | Develop data pipelines for deploying ML models on large datasets | Collaborate with scientists and engineers to prototype and deploy algorithms","3+ years software development, Bachelor's degree in Computer Science or equivalent","","$129,300 - $223,600",False,"High","Medium","Medium",80,"This role is primarily focused on software engineering for scalable systems and data processing, making the candidate's strong systems fit a key asset, while also valuing their experience in ML and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Machine Learning Engineer, Amazon General Intelligence (AGI)","Amazon.com","Bellevue, WA, US",False,"https://www.indeed.com/viewjob?jk=86048ae6d45d62d7","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, AWS, NVIDIA GPUs, Generative AI, Large Language Models","Develop and maintain platforms for LLM development and deployment | Optimize GPU workloads at the kernel level | Collaborate with applied scientists to process massive data and scale models | Investigate design approaches and prototype new technologies | Drive system architecture and champion best practices","3+ years software development, 2+ years design or architecture experience, experience with programming languages","Impact on customer lives through AI products, optimization of model performance","$130,000 - $160,000",True,"High","Medium","High",85,"This role is primarily focused on machine learning engineering with an emphasis on developing and optimizing algorithms for large language models, making the candidate's strong algorithmic and systems background a great fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Machine Learning Engineer, Amazon General Intelligence (AGI)","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=ef3dde21faa9bda0","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, AWS, NVIDIA GPUs, Generative AI, Large Language Models","Develop and maintain platforms for LLM development and deployment | Optimize GPU workloads at the kernel level | Collaborate with applied scientists to process massive data and scale ML models | Investigate design approaches and prototype new technologies | Drive system architecture and champion best practices","3+ years software development, 2+ years design or architecture experience, experience with programming languages","Influence overall strategy, shape future direction of AGI, ensure high-quality infrastructure","$130,000 - $160,000",True,"High","Medium","High",85,"This role is a Machine Learning Engineer position that emphasizes algorithm development and optimization for large language models, making the candidate's strong algorithmic and systems background a great fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Developer, Supply Chain","Tesla","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=a774f15f006841ee","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","San Francisco, CA","JavaScript, React, Python, MSSQL, PostgreSQL","Work closely with design, product and supply chain partners to understand problems | Design and develop modules with a clear understanding of goals and user impact | Write clean, maintainable and well-tested code following best practices | Suggest thoughtful improvements while reliably delivering assigned work | Learn how adjacent teams operate and connect requirements across functions","","","$111,200 - $246,720",False,"High","Low","Medium",75,"This role is primarily focused on software engineering and system integration, where the candidate's strong systems fit and moderate algorithmic skills align well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US, which is standard."
"Junior Software Engineer","","San Francisco, CA, US",False,"https://www.indeed.com/viewjob?jk=7382d70441ff931f","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","San Francisco, CA","Python, Node.js, TypeScript, APIs, AI tools","Build and maintain components of the AI agent platform | Develop and test APIs and integrations with external platforms | Participate in the full product cycle from idea to production | Improve agent intelligence and voice performance in real time | Collaborate with senior engineers to deliver high-impact features","1+ years as a software engineer, strong understanding of software fundamentals","Launch real features within weeks, improve agent performance","",True,"High","Low","Medium",80,"This role is primarily for a Software Engineer focusing on backend systems, and the candidate's strong systems fit and relevant experience align well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Engineer II","Amazon.com","San Francisco, CA, US",False,"https://www.indeed.com/viewjob?jk=103b66ad2ae3fa70","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","San Francisco, CA","AWS, Golang, CDN, Distributed Systems","Build features enabling the next generation of the Twitch Video Distribution system | Implement systems to manage traffic across multiple CDNs | Build robust, operable, and maintainable distributed software systems | Provide technical leadership and guidance to junior team members","3+ years of professional software development, B.A. or B.S. in Computer Science or equivalent","","$130,000 - $160,000",True,"High","Low","Low",85,"This role is for a backend distributed systems developer focused on building video distribution systems, making the candidate's strong systems fit a perfect match despite low retrieval and algorithmic fits.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Engineer, Prime Video","Amazon.com","San Francisco, CA, US",False,"https://www.indeed.com/viewjob?jk=68130c0af31bd545","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","San Francisco, CA","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle","3+ years software development, 2+ years design or architecture, BS in Computer Science or equivalent","Support billions of requests from millions of Prime Video users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is primarily focused on building scalable systems for live streaming, making the candidate's strong systems background a great fit, while also valuing some experience in retrieval infrastructure and machine learning.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, ML Compiler","Amazon Web Services","Cupertino, CA, US",False,"https://www.indeed.com/viewjob?jk=078b43b72ee77849","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, Java, C++, Machine Learning, Deep Learning, PyTorch, TensorFlow, JAX","Design, develop, and deploy analyzers for ML compiler stages | Architect and implement business-critical tooling | Publish cutting-edge research in compiler technology | Mentor a team of experienced scientists and engineers | Collaborate with engineering team on deep-learning systems software","","","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on algorithms and machine learning, where the candidate's strong algorithmic and mathematical background aligns well with the requirements despite low needs for systems or retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
